"Words","count"
"lente",2
"les",1
"otro",1
"por",1
"queda",1
"seguro",1
"tambien",2
"tendran",1
"tengan",1
"trae",1
"bastante",1
"baterias",1
"comprar",1
"consumen",1
"fotografias",1
"las",1
"mucho",1
"otra",1
"otras",1
"puesto",1
"rapido",1
"revisar",1
"usan",1
"bueno",1
"recomiendo",1
"verdad",1
"indoors",1
"suggest",1
"bit",1
"dabble",1
"whim",1
"budding",1
"photoshop",1
"potential",1
"shooting",1
"check",1
"info",1
"dollar",3
"ones",1
"telescopic",1
"tripod",1
"wiped",1
"eye",1
"keeping",1
"local",1
"stores",1
"web",1
"advertised",1
"arrived",1
"condition",1
"unopend",1
"another",1
"replace",1
"wifes",1
"paid",1
